=(#Код #Наименование#Вал,Кол,Заб,Акт,Субконто 1,Субконто 2,Субконто 3)
,00,Допоміжний рахунок,,,,АП,,,
,,"Счет 00 является специальным счетом плана счетов типовой конфигурации ""1С: Бухгалтерия 8 для Украины"" и предназначен для ввода начальных остатков при начале работы с системой. Остатки по каждому счету вводятся операциями, содержащими проводки в корреспонденции со счетом 00. Дебетовые остатки счета вводятся по дебету данного счета и кредиту счета 00. Кредитовые остатки счета вводятся по кредиту данного счета и дебету счета 00. Остатки по счетам, для которых в плане счетов задано ведение аналитического учета, вводятся с указанием субконто.  После ввода входящих остатков необходимо проверить их правильность. Для этого необходимо получить отчет ""Оборотно-сальдовая ведомость"" за период, включающий дату ввода остатков. Если остатки введены правильно, дебетовый оборот счета 00 будет равен кредитовому обороту.",,,,,,,
,1,Необоротні активи,,,,АП,,,
,,"Класс 1. ""Необоротные активы"". Счета этого класса предназначены для обобщения информации о наличии и движении основных средств, других необоротных материальных активов, нематериальных активов, долгосрочных финансовых инвестиций, капитальных инвестиций, долгосрочной дебиторской задолженности и других необоротных активов, а также износа необоротных активов. Государственные (казенные) и коммунальные предприятия на счетах этого класса обобщают информацию о наличии и движении необоротных активов, полученных на правах хозяйственного ведения или правах оперативного управления. Хозяйственные общества (кроме государственных (казенных) и коммунальных предприятий) на отдельных субсчетах третьего порядка соответствующих субсчетов с указанием принадлежности к государственной и/или коммунальной собственности отображают контролируемые ими (что находятся в их владении и/или пользовании) необоротные активы, которые являются объектами права государственной или коммунальной собственности и не вошли в уставный капитал хозйственных товариществ, созданных в процессе приватизации (корпоратизации).",,,,,,,
,10,Основні засоби,,,,А,Основні засоби,,
,,"    Счет 10 ""Основные средства"" предназначен для учета и обобщения информации о наличии и движении собственных или полученных на условиях финансового лизинга объектов и арендованных целостных имущественных комплексов, которые отнесены  к составу основных средств. К основным средствам относятся материальные активы, которые предприятие содержит с целью использования их в процессе производства или поставки товаров и услуг, предоставления в аренду другим лицам или для осуществления административных и социально-культурных функций, ожидаемый срок полезного использования (эксплуатации) которых больше одного года (или операционного цикла, если он превышает 1 год). Методологические основы формирования в бухгалтерском учете информации об основных средствах определены в Положении (стандарте) бухгалтерского учета 7 ""Основные средства"". По дебету  счета 10 ""Основные средства"" отображается поступление (приобретенных, созданных, безвозмездно полученных) основных средств на баланс предприятия, учитываемых по первоначальной стоимости, сумма затрат, которая связана с улучшением объекта (модернизация, модификация, дооборудование, реконструкция и др.), которое приводит к увеличению будущих экономических выгод, первоначально ожидавшихся от использования объекта, сумма дооценки стоимости объекта основных средств; по кредиту - выбытие основных средств вследствие продажи, безоплатной передечи или несоответствия критериям признания активом, а также в случае частичной ликвидации объекта основных средств, сумма уценки основных средств. По дебету счета также отражается сумма созданного обеспечения, в частнсти на предусмотренную законодательством рекультивацию земель",,,,,,,
,100,Інвестиційна нерухомість,,,,А,Основні засоби,,
,,"    На субсчете 100 ""Инвестиционная недвижимость"" ведется учет наличия и движения объектов инвестиционной недвижимости. ",,,,,,,
,101,Земельні ділянки,,,,А,Основні засоби,,
,,"    На субсчете 101 ""Земельные участки"" ведется учет земельных участков, в том числе полученных государственными (казенными) и коммунальными предприятиями по праву постоянного пользования. ",,,,,,,
,102,Капітальні витрати на поліпшення  земель,,,,А,Основні засоби,,
,,"    На субсчете 102 ""Капитальные затраты на улучшение земель"" ведется учет капитальных вложений в улучшение земель (мелиоративные, осушительные, ирригационные и другие работы). ",,,,,,,
,103,Будинки та споруди,,,,А,Основні засоби,,
,,"    На субсчете 103 ""Дома и сооружения"" ведется учет наличия и движения домов, сооружений, их структурных компонентов и передающих устройств, а также жилых зданий. ",,,,,,,
,104,Машини та обладнання,,,,А,Основні засоби,,
,,"    На субсчете 104 ""Машины и оборудование"" ведется учет машин и оборудования.",,,,,,,
,105,Транспортні засоби,,,,А,Основні засоби,,
,,"    На субсчете 105 ""Транспортные средства"" ведется учет транспортных средств.",,,,,,,
,106,"Інструменти, прилади та інвентар",,,,А,Основні засоби,,
,,"    На субсчете 106 ""Инструменты, приборы и инвентарь"" ведется учет инструментов, приборов и инвентаря.",,,,,,,
,107,Животные,,,,А,Основні засоби,,
,,"    На субсчете 107 ""Животные"" ведется учет долгосрочных биологических активов, которые не связаны с  сельскохозяйственной деятельностью.",,,,,,,
,108,Багаторічні насадження,,,,А,Основні засоби,,
,,"    На субсчете 108 ""Многолетние насаждения"" ведется учет долгосрочных биологических активов, которые не связаны с сельскохозяйственной деятельностью.",,,,,,,
,109,Інші основні засоби,,,,А,Основні засоби,,
,,"    На субсчете 109 ""Другие основные средства"" ведется учет основных средств, которые не включены к другим субсчетам счета 10 ""Основные средства""",,,,,,,
,1091,Інші основні засоби,,,,А,Основні засоби,,
,,"    На субсчете 1091 ""Другие основные средства"" ведется учет основных средств, которые не включены к другим субсчетам счета 10 ""Основные средства"".",,,,,,,
,1092,Основні засоби призначені для продажу,,,,А,Основні засоби,,
,,"    Субсчет 1092 ""Основные средства предназначенные для продажи "" в настоящее время не используется.",,,,,,,
,11,Інші необоротні матеріальні активи,,,,А,Основні засоби,,
,,"    Счет 11 ""Другие необоротные материальные активы"" предназначен для учета и обобщение информации о наличии и движении других необоротных материальных активов, которые не отображены в составе объектов учета на счете 10 ""Основные средства"".",,,,,,,
,111,Бібліотечні фонди,,,,А,Основні засоби,,
,,"    На субсчете 111 ""Библиотечные фонды"" ведется учет наличия и движения библиотечных фондов. ",,,,,,,
,1111,Бібліотечні фонди (по кожному об'єкту),,,,А,Основні засоби,,
,,"    На субсчете 1111 ""Библиотечные фонды (по каждому объекту)"" ведется пообъектный учет наличия и движения библиотечных фондов. ",,,,,,,
,1112,Бібліотечні фонди (кількісно),,+,,А,Номенклатура,,
,,"    На субсчете 1112 ""Библиотечные фонды (количественно)"" ведется групповой учет наличия и движения библиотечных фондов, амортизацию которых начисляют в первом месяце использования в размере 100% их стоимости, с обеспечением информации об общем количестве и общей стоимости объектов.",,,,,,,
,112,Малоцінні необоротні матеріальні активи,,,,А,Основні засоби,,
,,"    На субсчете 112 ""Малоценные необоротные материальные активы"" отображается стоимость предметов, срок полезного использования которых больше одного года, в частности специальные инструменты и специальные приспособления, стоимость которых погашается начислением износа по установленной предприятием ставке (норме) с учетом ожидаемого способа использования таких объектов, и другие предметы, которые по стоимостным признакам предприятием зачислены в состав малоценных необоротных материальных активов. ",,,,,,,
,1121,Малоцінні необоротні матеріальні активи (по кожному об'єкту),,,,А,Основні засоби,,
,,"    На субсчете 1121 ""Малоценные необоротные материальные активы (по каждому объекту)"" ведется пообъектный учет малоценных необоротных материальных активов.",,,,,,,
,1122,Малоцінні необоротні матеріальні активи (кількісно),,+,,А,Номенклатура,,
